View,Feature ID,Feature Description,Backend Status,API Endpoint,Gap/Notes
Action Items,A-04,Overdue section with days-overdue count,Ready,GET /api/action-items?status=overdue,ActionItem has due_date; overdue computed
Action Items,A-05,Due Soon section (today/tomorrow),Ready,GET /api/action-items?status=open,Filterable by due_date range
Action Items,A-06,In Progress section,Ready,GET /api/action-items?status=in_progress,Status filter
Action Items,A-07,Upcoming section with on-track status,Ready,GET /api/action-items?status=open,Open items with future due dates
Action Items,A-08,Source meeting link on each action item,Ready,ActionItem.meeting_id,FK to meeting record
Action Items,A-09,Mark action complete,Ready,POST /api/action-items/{id}/complete,Sets completed_at timestamp
Action Items,A-10,Snooze action item,Ready,POST /api/action-items/{id}/snooze,Sets snooze_until; NudgeScheduler respects it
Action Items,A-11,Update action item (status/priority/assignee/deadline),Ready,PATCH /api/action-items/{id},Full partial update
Action Items,A-12,Nudge reminders for overdue items,Ready,NudgeScheduler background task,Sends Adaptive Cards via DeliveryService
Action Items,A-13,Escalation after threshold,Ready,NudgeScheduler,Escalation to manager after configurable threshold
Documents,DOC-01,Document list with type filter (Presentations/Spreadsheets/Documents/PDFs),Ready,"GET /api/documents?doc_type=presentations,spreadsheets,documents,pdfs",MIME type filtering
Documents,DOC-02,Sort by Recently Updated / Most Relevant / Shared with Me,Ready,"GET /api/documents/recent, GET /api/documents/shared-with-me",Multiple endpoints
Documents,DOC-03,Needs Your Review section with priority tags,Ready,GET /api/documents/needs-review,Priority-ordered review queue
Documents,DOC-04,Review tags (High Priority / Action Required / Pending Review),Ready,DocumentResponse.priority + review_status,Both fields available
Documents,DOC-05,Recently Updated documents with metadata,Ready,GET /api/documents/recent,Returns docs ordered by updated_at
Documents,DOC-06,Document metadata: updated by / page count / folder path,Ready,DocumentResponse,last_modified_by + page_count + folder_path fields
Documents,DOC-07,Related to Today's Meetings section,Ready,GET /api/documents/meeting-related,Cross-refs calendar events with docs
Documents,DOC-08,SharePoint/OneDrive sync,Ready,POST /api/documents/sync,sync_from_graph pulls recent OneDrive items
Documents,DOC-09,Document classification (auto-categorize),Ready,"POST /api/documents/{id}/classify, auto in process_document",23-category classifier with confidence
Documents,DOC-10,Semantic search across documents,Ready,GET /api/documents/search,RAG retriever with pgvector
Documents,DOC-11,Open document in SharePoint (external link),Ready,DocumentResponse.source_url,URL to original document
Insights,I-01,Meeting Time Analysis (hours/week + trend + breakdown),Ready,GET /api/insights/meeting-time,Returns total_meetings and avg_per_week
Insights,I-02,Action Item Completion rate (% + team breakdown),Ready,GET /api/insights/action-completion,Returns completion_rate; team breakdown needs enhancement
Insights,I-03,Decision Velocity (avg days to resolution),Not Started,,No decision timestamp tracking; would need decision_requested_at and decided_at
Insights,I-04,Collaboration Patterns (top collaborators + stale 1:1s),Ready,GET /api/insights/collaboration,Returns top_collaborators and stale_1on1s
Insights,I-05,Notable Patterns (recurring topics / decision reversals / duration trends),Partial,GET /api/insights/patterns,Endpoint exists but limited pattern detection
Insights,I-06,Insight: recurring topic detection across meetings,Not Started,,Would need NLP topic extraction across meeting summaries
Insights,I-07,Insight: decision reversal detection,Not Started,,Would need cross-meeting decision comparison
Insights,I-08,Recommendation engine (delegate meetings / schedule 1:1s),Not Started,,No recommendation generation
Weekly Digest,WD-01,Week header with date range,Ready,GET /api/digests/latest,WeeklyDigest has period info
Weekly Digest,WD-02,Meetings Summary stats (total/hours/decisions/actions),Ready,GET /api/digests/latest,WeeklyDigestResponse includes aggregated stats
Weekly Digest,WD-03,Key Decisions This Week (list with sources),Ready,GET /api/digests/latest,Digest includes decisions from the week
Weekly Digest,WD-04,Items Needing Follow-up (overdue + at-risk),Ready,GET /api/digests/latest,Included in digest generation
Weekly Digest,WD-05,Project Updates with status/owner,Partial,GET /api/digests/latest,Project model exists but project tracking is minimal
Weekly Digest,WD-06,People Notes (stale 1:1s / milestones),Partial,,Collaboration insights exist; "90 days in role" type milestones not tracked
Weekly Digest,WD-07,Auto-generate on schedule (Friday 4 PM),Ready,APScheduler cron trigger,Configurable DIGEST_SCHEDULE_DAY/HOUR
Weekly Digest,WD-08,Manual trigger generation,Ready,POST /api/digests/generate,On-demand generation
Meetings List,ML-01,Meetings list grouped by day (Today / Tomorrow / etc.),Ready,GET /api/meetings,Returns meetings ordered by scheduled_start
Meetings List,ML-02,Time filter tabs (Today / This Week / This Month),Ready,GET /api/meetings?limit=...,Date range filtering
Meetings List,ML-03,Meeting tags (Brief Ready / High Priority / Recurring / External),Partial,MeetingWithTagsResponse,Tag schema exists but tag computation not fully implemented
Meetings List,ML-04,Join button states (In Progress / Join Now / Starting Soon),Ready,MeetingResponse.join_status + join_url,Computed join_status field
Meetings List,ML-05,Click meeting → Pre-Meeting Brief,Ready,GET /api/briefs/{meeting_id},Brief service generates on demand
Meetings List,ML-06,Duration shown per meeting,Ready,MeetingResponse,scheduled_start and scheduled_end — duration computable
Settings,SET-01,Settings view,Not Started,,No settings API or view — nav item exists but no backend
Cross-Cutting,X-01,Azure AD SSO authentication,Ready,JWT validation + MSAL TokenProvider,App-only daemon flow; user SSO needs MSAL browser redirect
Cross-Cutting,X-02,Real-time updates (meeting status changes),Not Started,,No WebSocket or SSE push to frontend
Cross-Cutting,X-03,Adaptive Card delivery to Teams,Ready,DeliveryService,Summary cards / nudge cards / digest cards
Cross-Cutting,X-04,Graph API calendar subscription webhooks,Ready,POST /webhooks/graph,CalendarWatcher handles create/update/delete
Cross-Cutting,X-05,Bot joins meeting automatically,Ready,POST /api/meetings/{id}/join,BotCommander + CalendarWatcher auto-scheduling
Cross-Cutting,X-06,Transcript ingestion from bot,Ready,POST /api/bot-events/transcript,Batched transcript segments with dedup
Cross-Cutting,X-07,AI processing (summary + action extraction),Ready,POST /api/meetings/{id}/reprocess,AIProcessor calls GPT-4o
Cross-Cutting,X-08,Post-processing pipeline (AI → owner resolve → delivery),Ready,PostProcessingService,Orchestrates full pipeline
